,VKORG,COND_TYPE,DST_CH,DIV,Month_year,Amount,Customer_ID,Internal_Grade,Mill,OFFER_ EFF_PR _NUMBER,OFFER_ALLOY_NUMBER,OFFER_ALLOY,OFFER_EFF_PR
48598,0400,Z133,02,02,202203,224.0,81162,SU8MOTI,Hamburg,,,,
48599,0400,Z133,02,02,202203,252.0,81162,SU11MO,Hamburg,,,,
48600,0400,Z133,02,02,202203,495.0,81162,SU9CrMo,Hamburg,,,,
48601,0400,Z133,02,02,202203,697.0,81162,SG4NiMo,Hamburg,,,,
48602,0400,Z133,02,02,202203,570.0,81162,SU8Ni250,Hamburg,,,,
48603,0400,Z133,02,02,202203,693.0,81162,SG5NiMo55,Hamburg,,,,
48604,0400,Z133,02,02,202203,365.0,81162,SG8Ni,Hamburg,,,,
48605,0400,Z133,02,02,202203,790.0,81162,SU12CrNi,Hamburg,,,,
48606,0400,Z133,02,02,202203,742.0,81162,SG3NiMo50,Hamburg,,,,
48607,0400,Z133,02,02,202203,232.0,81162,SU10CrMo,Hamburg,,,,
48608,0400,Z133,02,02,202203,109.0,81162,SE6CrNi,Hamburg,,,,
48609,0400,Z133,02,02,202203,534.0,81162,SG1NiMo30,Hamburg,,,,
48610,0400,Z133,02,02,202203,468.0,81162,SG2NiMo,Hamburg,,,,
48611,0400,Z133,02,02,202203,251.0,81162,SG2Mo,Hamburg,,,,
48612,0400,Z133,02,02,202203,293.0,81162,SG2MoCr115,Hamburg,,,,
48613,0400,Z133,02,02,202203,442.0,81162,SG8NiMo,Hamburg,,,,
48614,0400,Z133,02,02,202203,750.0,81162,SU10CrNi,Hamburg,,,,
48615,0400,Z133,02,02,202203,236.0,81162,SU10MnMo,Hamburg,,,,
48616,0400,Z133,02,02,202203,461.0,81162,SU13NiMo,Hamburg,,,,
48617,0400,Z133,02,02,202203,846.0,81162,SU13MoNi,Hamburg,,,,
48618,0400,Z133,02,02,202203,18.0,81162,SU8MnTi,Hamburg,,,,
48619,0400,Z133,02,02,202203,330.0,81162,SU10MONI90,Hamburg,,,,
48620,0400,Z133,02,02,202203,59.0,93574,DC100CRS,Hamburg,,,,
48621,0400,Z133,02,02,202203,77.0,93574,DC51CrV,Hamburg,,,,
48622,0400,Z133,02,02,202203,75.0,93574,DC58CrV,Hamburg,,,,
48623,0400,Z133,02,02,202203,135.0,93574,DK34CrMo,Hamburg,,,,
48624,0400,Z133,02,02,202203,485.0,93574,DK34CrNiMoS,Hamburg,,,,
48625,0400,Z133,02,02,202203,59.0,93574,DC100CR,Hamburg,,73304.0,1,
48626,0400,Z133,02,02,202203,59.0,81162,DC100CR6,Hamburg,,,,
48627,0400,Z133,02,02,202203,59.0,81162,DC100CR,Hamburg,70034.0,,,1
48628,0400,Z133,02,02,202203,292.0,81162,DK20CrNiMo,Hamburg,,,,
48629,0400,Z133,02,02,202203,467.0,81162,DK21CrNiMo,Hamburg,,,,
48630,0400,Z133,02,02,202203,126.0,93579,SU8Ni,Hamburg,,,,
48631,0400,Z133,02,02,202203,231.0,93579,SU8Mo,Hamburg,,,,
48632,0400,Z133,02,02,202203,250.0,93579,SG1Mo,Hamburg,,,,
48633,0400,Z133,02,02,202203,276.0,93872,DK22CRNIMOTI,Hamburg,,,,
48634,0400,Z133,02,02,202203,13.0,93872,DA19Si,Hamburg,,,,
48635,0400,Z133,02,02,202203,16.0,93872,DK20MN,Hamburg,,,,
48636,0300,Z133,02,02,202203,13.0,93552,0922,Duisburg,,,,
48637,0300,Z133,02,02,202203,13.0,93552,0927,Duisburg,,,,
48638,0300,Z133,02,02,202203,48.0,115628,3413,Duisburg,,,,
48639,0300,Z133,02,02,202203,66.0,82821,2609,Duisburg,,,,
48640,0300,Z133,02,02,202203,48.0,82821,2612,Duisburg,,,,
48641,0300,Z133,02,02,202203,37.0,82821,3202,Duisburg,,,,
48642,0300,Z133,02,02,202203,37.0,82821,3202,Duisburg,,,,
48643,0300,Z133,02,02,202203,202.0,82821,3490,Duisburg,,,,
48644,0300,Z133,02,02,202203,202.0,82821,3490,Duisburg,,,,
48645,0300,Z133,02,02,202203,15.0,86341,0927,Duisburg,,,,
48646,0300,Z133,02,02,202203,65.0,86341,2605,Duisburg,,,,
48647,0300,Z133,02,02,202203,71.0,86341,2613,Duisburg,,,,
48648,0300,Z133,02,02,202203,49.0,86341,2617,Duisburg,,,,
48649,0300,Z133,02,02,202203,49.0,86341,2617,Duisburg,,,,
48650,0300,Z133,02,02,202203,69.0,86341,2618,Duisburg,,,,
48651,0300,Z133,02,02,202203,64.0,86341,2618,Duisburg,,,,
48652,0300,Z133,02,02,202203,64.0,86341,2618,Duisburg,,,,
48653,0300,Z133,02,02,202203,64.0,86341,2618,Duisburg,,,,
48654,0300,Z133,02,02,202203,266.0,86341,3256,Duisburg,,,,
48655,0300,Z133,02,02,202203,85.0,86341,3750,Duisburg,,,,
48656,0300,Z133,02,02,202203,82.0,86341,3755,Duisburg,,,,
48657,0300,Z133,02,02,202203,47.0,86341,3985,Duisburg,,,,
48658,0300,Z133,02,02,202203,59.0,86341,4075,Duisburg,,,,
48659,0300,Z133,02,02,202203,64.0,86341,4313,Duisburg,,,,
48660,0300,Z133,02,02,202203,64.0,86341,4313,Duisburg,,,,
48661,0300,Z133,02,02,202203,64.0,86341,4314,Duisburg,,,,
48662,0300,Z133,02,02,202203,64.0,86341,4314,Duisburg,,,,
48663,0300,Z133,02,02,202203,153.0,86341,4320,Duisburg,,70345.0,1,
48664,0300,Z133,02,02,202203,153.0,86341,4321,Duisburg,,,,
48665,0300,Z133,02,02,202203,132.0,86341,4326,Duisburg,,,,
48666,0300,Z133,02,02,202203,221.0,86341,4328,Duisburg,,,,
48667,0300,Z133,02,02,202203,15.0,84284,0922,Duisburg,,,,
48668,0300,Z133,02,02,202203,8.0,84284,2568,Duisburg,,,,
48669,0300,Z133,02,02,202203,48.0,84284,2612,Duisburg,,,,
48670,0300,Z133,02,02,202203,156.0,84284,2691,Duisburg,,,,
48671,0300,Z133,02,02,202203,128.0,84284,2691,Duisburg,,,,
48672,0300,Z133,02,02,202203,8.0,84284,2883,Duisburg,,,,
48673,0300,Z133,02,02,202203,63.0,84284,4305,Duisburg,,,,
48674,0300,Z133,02,02,202203,62.0,84284,4313,Duisburg,,,,
48675,0300,Z133,02,02,202203,153.0,84284,4321,Duisburg,,,,
48676,0300,Z133,02,02,202203,153.0,84284,4321,Duisburg,,,,
48677,0300,Z133,02,02,202203,50.0,84284,4434,Duisburg,,,,
48678,0300,Z133,02,02,202203,126.0,93564,2603,Duisburg,,,,
48679,0300,Z133,02,02,202203,49.0,93564,2617,Duisburg,,,,
48680,0300,Z133,02,02,202203,49.0,93564,2617,Duisburg,,,,
48681,0300,Z133,02,02,202203,185.0,93564,3453,Duisburg,,,,
48682,0300,Z133,02,02,202203,185.0,93564,3453,Duisburg,,,,
48683,0300,Z133,02,02,202203,185.0,93564,3453,Duisburg,,,,
48684,0300,Z133,02,02,202203,185.0,93564,3453,Duisburg,,,,
48685,0300,Z133,02,02,202203,198.0,93564,3483,Duisburg,,,,
48686,0300,Z133,02,02,202203,204.0,93564,3485,Duisburg,,,,
48687,0300,Z133,02,02,202203,202.0,93564,3490,Duisburg,,,,
48688,0300,Z133,02,02,202203,25.0,84285,3365,Duisburg,,,,
48689,0300,Z133,02,02,202203,12.0,84290,3283,Duisburg,,,,
48690,0300,Z133,02,02,202203,192.0,93599,2635,Duisburg,,,,
48691,0300,Z133,02,02,202203,579.0,84875,3515,Duisburg,,,,
48692,0300,Z133,02,02,202203,15.0,93606,0917,Duisburg,,,,
48693,0300,Z133,02,02,202203,15.0,93606,0917,Duisburg,,,,
48694,0300,Z133,02,02,202203,15.0,93606,0922,Duisburg,,,,
48695,0300,Z133,02,02,202203,15.0,93606,0922,Duisburg,,,,
48696,0300,Z133,02,02,202203,15.0,93606,0922,Duisburg,,,,
48697,0300,Z133,02,02,202203,15.0,93606,0927,Duisburg,,,,
48698,0300,Z133,02,02,202203,15.0,93606,0927,Duisburg,,,,
48699,0300,Z133,02,02,202203,15.0,93606,0927,Duisburg,,,,
48700,0300,Z133,02,02,202203,16.0,93606,2559,Duisburg,,,,
48701,0300,Z133,02,02,202203,16.0,93606,2559,Duisburg,,,,
48702,0300,Z133,02,02,202203,8.0,93606,2568,Duisburg,,,,
48703,0300,Z133,02,02,202203,8.0,93606,2568,Duisburg,,,,
48704,0300,Z133,02,02,202203,63.0,93606,2584,Duisburg,,,,
